Wavelength/nm	Absorbance	Reference	Sample	Pr. Code:	000	Const1:	 0	Const2:	 0
411.89	 .074	243	205
412.61	 .071	251	213
413.33	 .073	246	208
414.05	 .09	256	208
414.77	 .079	247	206
415.49	 .092	242	196
416.21	 .095	249	200
416.93	 .086	244	200
417.66	 .098	248	198
418.38	 .104	253	199
419.10	 .108	259	202
419.82	 .114	260	200
420.54	 .113	262	202
421.26	 .115	279	214
421.98	 .116	302	231
422.70	 .125	300	225
423.42	 .123	279	210
424.13	 .129	269	200
424.85	 .137	277	202
425.57	 .136	279	204
426.29	 .147	265	189
427.01	 .153	259	182
427.73	 .149	269	191
428.45	 .15	263	186
429.17	 .151	273	193
429.88	 .163	303	208
430.60	 .161	313	216
431.32	 .17	312	211
432.04	 .168	277	188
432.75	 .173	265	178
433.47	 .169	251	170
434.19	 .174	248	166
434.91	 .175	247	165
435.62	 .183	247	162
436.34	 .19	262	169
437.06	 .187	274	178
437.77	 .188	253	164
438.49	 .198	270	171
439.21	 .195	271	173
439.92	 .193	256	164
440.64	 .192	246	158
441.35	 .201	259	163
442.07	 .211	265	163
442.78	 .199	256	162
443.50	 .209	275	170
444.21	 .203	279	175
444.93	 .211	273	168
445.64	 .213	271	166
446.36	 .207	272	169
447.07	 .215	289	176
447.79	 .219	280	169
448.50	 .218	269	163
449.22	 .215	271	165
449.93	 .224	278	166
450.64	 .215	271	165
451.36	 .221	273	164
452.07	 .218	274	166
452.78	 .218	256	155
453.50	 .228	245	145
454.21	 .221	243	146
454.92	 .222	245	147
455.63	 .222	235	141
456.35	 .235	239	139
457.06	 .216	250	152
457.77	 .22	247	149
458.48	 .226	237	141
459.19	 .23	229	135
459.91	 .235	242	141
460.62	 .224	241	144
461.33	 .23	258	152
462.04	 .231	235	138
462.75	 .227	219	130
463.46	 .225	220	131
464.17	 .213	222	136
464.88	 .218	233	141
465.59	 .224	261	156
466.30	 .222	277	166
467.01	 .226	239	142
467.72	 .228	230	136
468.43	 .226	249	148
469.14	 .22	249	150
469.85	 .22	234	141
470.56	 .224	236	141
471.27	 .221	231	139
471.98	 .218	241	146
472.69	 .209	241	149
473.40	 .217	262	159
474.11	 .211	268	165
474.82	 .209	285	176
475.52	 .213	302	185
476.23	 .206	299	186
476.94	 .204	302	189
477.65	 .208	300	186
478.35	 .208	305	189
479.06	 .202	306	192
479.77	 .207	317	197
480.48	 .199	335	212
481.18	 .197	329	209
481.89	 .202	357	224
482.60	 .199	353	223
483.30	 .203	346	217
484.01	 .193	354	227
484.72	 .196	388	247
485.42	 .194	388	248
486.13	 .195	490	313
486.83	 .193	420	269
487.54	 .186	437	285
488.24	 .178	375	249
488.95	 .181	364	240
489.65	 .18	363	240
490.36	 .177	355	236
491.06	 .172	351	236
491.77	 .172	343	231
492.47	 .169	347	235
493.18	 .163	348	239
493.88	 .162	354	244
494.58	 .166	366	250
495.29	 .161	352	243
495.99	 .158	374	260
496.70	 .159	418	290
